lane,name,asset,status,owner,approval_needed
T1,Boat/RV maintenance digital download pack,Landing page copy,draft now,Nombo,Before publishing
T1,Boat/RV maintenance digital download pack,Product/listing backlog,draft now,Nombo,Before publishing
T1,Boat/RV maintenance digital download pack,First revenue offer,needs platform/account choice,David+Nombo,Yes
T2,Genealogy template bundle,Landing page copy,draft now,Nombo,Before publishing
T2,Genealogy template bundle,Product/listing backlog,draft now,Nombo,Before publishing
T2,Genealogy template bundle,First revenue offer,needs platform/account choice,David+Nombo,Yes
T3,Van/adventure POD product catalog,Landing page copy,draft now,Nombo,Before publishing
T3,Van/adventure POD product catalog,Product/listing backlog,draft now,Nombo,Before publishing
T3,Van/adventure POD product catalog,First revenue offer,depends on setup/launch channel,David+Nombo,Yes
T4,Boating/marina POD product catalog,Landing page copy,draft now,Nombo,Before publishing
T4,Boating/marina POD product catalog,Product/listing backlog,draft now,Nombo,Before publishing
T4,Boating/marina POD product catalog,First revenue offer,depends on setup/launch channel,David+Nombo,Yes
T5,Printable planner/template store,Landing page copy,draft now,Nombo,Before publishing
T5,Printable planner/template store,Product/listing backlog,draft now,Nombo,Before publishing
T5,Printable planner/template store,First revenue offer,needs platform/account choice,David+Nombo,Yes
T6,Prompt pack store,Landing page copy,draft now,Nombo,Before publishing
T6,Prompt pack store,Product/listing backlog,draft now,Nombo,Before publishing
T6,Prompt pack store,First revenue offer,needs platform/account choice,David+Nombo,Yes
T7,Niche calculator websites,Landing page copy,draft now,Nombo,Before publishing
T7,Niche calculator websites,Product/listing backlog,draft now,Nombo,Before publishing
T7,Niche calculator websites,First revenue offer,depends on setup/launch channel,David+Nombo,Yes
T8,KDP logbooks,Landing page copy,draft now,Nombo,Before publishing
T8,KDP logbooks,Product/listing backlog,draft now,Nombo,Before publishing
T8,KDP logbooks,First revenue offer,depends on setup/launch channel,David+Nombo,Yes
T9,Printable wall art/poster shop,Landing page copy,draft now,Nombo,Before publishing
T9,Printable wall art/poster shop,Product/listing backlog,draft now,Nombo,Before publishing
T9,Printable wall art/poster shop,First revenue offer,needs platform/account choice,David+Nombo,Yes
T10,Affiliate content site: boating/van/genealogy niches,Landing page copy,draft now,Nombo,Before publishing
T10,Affiliate content site: boating/van/genealogy niches,Product/listing backlog,draft now,Nombo,Before publishing
T10,Affiliate content site: boating/van/genealogy niches,First revenue offer,depends on setup/launch channel,David+Nombo,Yes
